1,29,BLACK,History
2,0,GREEN,History
3,20,BLACK,History
4,9,RED,History
5,2,BLACK,History
6,21,RED,History
7,5,RED,History
8,9,RED,History
9,27,RED,History
10,23,RED,History
11,5,RED,History
12,26,BLACK,History
13,20,BLACK,History
14,11,BLACK,History
15,10,BLACK,History
16,28,BLACK,History
17,14,RED,History
18,22,BLACK,History
19,18,RED,History
20,24,BLACK,History
21,23,RED,History
22,15,BLACK,History
23,12,RED,History
24,24,BLACK,History
25,0,GREEN,History
26,31,BLACK,History
27,18,RED,History
28,26,BLACK,History
29,29,BLACK,History
30,10,BLACK,History
31,10,BLACK,History
32,9,RED,History
33,28,BLACK,History
34,18,RED,History
35,16,RED,History
36,16,RED,History
37,28,BLACK,History
38,5,RED,History
39,20,BLACK,History
40,21,RED,History
41,17,BLACK,History
42,19,RED,History
43,5,RED,History
44,1,RED,History
45,15,BLACK,History
46,25,RED,History
47,27,RED,History
48,14,RED,History
49,17,BLACK,History
50,6,BLACK,History
51,28,BLACK,History
52,28,BLACK,History
53,26,BLACK,History
54,4,BLACK,History
55,15,BLACK,History
56,5,RED,History
57,3,RED,History
58,27,RED,History
59,11,BLACK,History
60,6,BLACK,History
61,35,BLACK,History
62,25,RED,History
63,31,BLACK,History
64,27,RED,History
65,28,BLACK,History
66,1,RED,History
67,18,RED,History
68,6,BLACK,History
69,7,RED,History
70,11,BLACK,History
71,11,BLACK,History
72,27,RED,History
73,36,RED,History
74,1,RED,History
75,14,RED,History
76,32,RED,History
77,18,RED,History
78,21,RED,History
79,5,RED,History
80,12,RED,History
81,5,RED,History
82,33,BLACK,History
83,31,BLACK,History
84,20,BLACK,History
85,2,BLACK,History
86,32,RED,History
87,13,BLACK,History
88,25,RED,History
89,36,RED,History
90,4,BLACK,History
91,22,BLACK,History
92,26,BLACK,History
93,32,RED,History
94,8,BLACK,History
95,33,BLACK,History
96,16,RED,History
97,36,RED,History
98,36,RED,History
99,25,RED,History
100,18,RED,History
101,27,RED,History
102,15,BLACK,History
103,0,GREEN,History
104,32,RED,History
105,21,RED,History
106,34,RED,History
107,13,BLACK,History
108,13,BLACK,History
109,7,RED,History
110,15,BLACK,History
111,21,RED,History
112,22,BLACK,History
113,26,BLACK,History
114,12,RED,History
115,5,RED,History
116,15,BLACK,History
117,25,RED,History
118,26,BLACK,History
119,1,RED,History
120,29,BLACK,History
121,1,RED,History
122,21,RED,History
123,5,RED,History
124,25,RED,History
125,0,GREEN,History
126,16,RED,History
127,2,BLACK,History
128,28,BLACK,History
129,26,BLACK,History
130,26,BLACK,History
131,2,BLACK,History
132,29,BLACK,History
133,6,BLACK,History
134,32,RED,History
135,34,RED,History
136,18,RED,History
137,13,BLACK,History
138,20,BLACK,History
139,31,BLACK,History
140,4,BLACK,History
141,23,RED,History
142,26,BLACK,History
143,28,BLACK,History
144,7,RED,History
145,1,RED,History
146,22,BLACK,History
147,31,BLACK,History
148,10,BLACK,History
149,22,BLACK,History
150,24,BLACK,History
151,33,BLACK,History
152,8,BLACK,History
153,11,BLACK,History
154,22,BLACK,History
155,8,BLACK,History
156,10,BLACK,History
157,32,RED,History
158,17,BLACK,History
159,33,BLACK,History
160,35,BLACK,History
161,30,RED,History
162,17,BLACK,History
163,19,RED,History
164,10,BLACK,History
165,9,RED,History
166,2,BLACK,History
167,25,RED,History
168,11,BLACK,History
169,7,RED,History
170,36,RED,History
171,32,RED,History
172,3,RED,History
